time,open,high,low,close
2023-11-20 00:00,1.24552,1.24562,1.24469,1.24510
2023-11-20 01:00,1.24533,1.24690,1.24533,1.24690
2023-11-20 02:00,1.24688,1.24850,1.24674,1.24836
2023-11-20 03:00,1.24835,1.24860,1.24761,1.24852
2023-11-20 04:00,1.24866,1.24955,1.24852,1.24858
2023-11-20 05:00,1.24863,1.24897,1.24802,1.24810
2023-11-20 06:00,1.24822,1.24831,1.24768,1.24782
2023-11-20 07:00,1.24766,1.24846,1.24735,1.24755
2023-11-20 08:00,1.24768,1.24933,1.24743,1.24825
2023-11-20 09:00,1.24822,1.25086,1.24822,1.25086
2023-11-20 10:00,1.25044,1.25044,1.24679,1.24721
2023-11-20 11:00,1.24727,1.24727,1.24632,1.24722
2023-11-20 12:00,1.24693,1.24782,1.24659,1.24726
2023-11-20 13:00,1.24738,1.24786,1.24682,1.24735
2023-11-20 14:00,1.24765,1.24925,1.24634,1.24916
2023-11-20 15:00,1.24947,1.24947,1.24757,1.24917
2023-11-20 16:00,1.24958,1.25039,1.24917,1.25039
2023-11-20 17:00,1.25050,1.25169,1.24953,1.25011
2023-11-20 18:00,1.24998,1.25169,1.24989,1.25078
2023-11-20 19:00,1.25088,1.25111,1.25031,1.25108
2023-11-20 20:00,1.25109,1.25141,1.25075,1.25075
2023-11-20 21:00,1.25077,1.25089,1.25047,1.25055
2023-11-20 22:00,1.25047,1.25069,1.25002,1.25041
2023-11-20 23:00,1.25059,1.25116,1.25059,1.25088
2023-11-21 00:00,1.25108,1.25185,1.25058,1.25114
2023-11-21 01:00,1.25124,1.25243,1.25063,1.25163
2023-11-21 02:00,1.25164,1.25373,1.25133,1.25351
2023-11-21 03:00,1.25351,1.25395,1.25337,1.25387
2023-11-21 04:00,1.25387,1.25403,1.25301,1.25312
2023-11-21 05:00,1.25309,1.25368,1.25265,1.25274
2023-11-21 06:00,1.25271,1.25299,1.25243,1.25272
2023-11-21 07:00,1.25261,1.25381,1.25233,1.25249
2023-11-21 08:00,1.25210,1.25370,1.25210,1.25312
2023-11-21 09:00,1.25320,1.25412,1.25269,1.25315
2023-11-21 10:00,1.25307,1.25518,1.25291,1.25448
2023-11-21 11:00,1.25458,1.25458,1.25282,1.25294
2023-11-21 12:00,1.25309,1.25393,1.25309,1.25357
2023-11-21 13:00,1.25386,1.25586,1.25342,1.25387
2023-11-21 14:00,1.25433,1.25524,1.25382,1.25453
2023-11-21 15:00,1.25489,1.25540,1.25288,1.25382
2023-11-21 16:00,1.25393,1.25455,1.25296,1.25381
2023-11-21 17:00,1.25371,1.25504,1.25329,1.25474
2023-11-21 18:00,1.25467,1.25467,1.25230,1.25252
2023-11-21 19:00,1.25243,1.25408,1.25188,1.25408
2023-11-21 20:00,1.25409,1.25425,1.25332,1.25362
2023-11-21 21:00,1.25359,1.25403,1.25343,1.25382
2023-11-21 22:00,1.25348,1.25381,1.25309,1.25360
2023-11-21 23:00,1.25397,1.25461,1.25397,1.25444
2023-11-22 00:00,1.25441,1.25488,1.25408,1.25459
2023-11-22 01:00,1.25453,1.25496,1.25346,1.25365
2023-11-22 02:00,1.25357,1.25436,1.25331,1.25406
2023-11-22 03:00,1.25400,1.25437,1.25376,1.25381
2023-11-22 04:00,1.25393,1.25414,1.25345,1.25359
2023-11-22 05:00,1.25357,1.25370,1.25251,1.25268
2023-11-22 06:00,1.25266,1.25266,1.25135,1.25202
2023-11-22 07:00,1.25205,1.25313,1.25172,1.25290
2023-11-22 08:00,1.25302,1.25365,1.25088,1.25120
2023-11-22 09:00,1.25142,1.25371,1.25142,1.25296
2023-11-22 10:00,1.25287,1.25354,1.25218,1.25277
2023-11-22 11:00,1.25280,1.25367,1.25255,1.25362
2023-11-22 12:00,1.25343,1.25482,1.25343,1.25362
2023-11-22 13:00,1.25356,1.25436,1.25114,1.25180
2023-11-22 14:00,1.25156,1.25156,1.24777,1.24849
2023-11-22 15:00,1.24704,1.24729,1.24513,1.24586
2023-11-22 16:00,1.24597,1.24657,1.24539,1.24654
2023-11-22 17:00,1.24662,1.24855,1.24657,1.24803
2023-11-22 18:00,1.24807,1.24941,1.24805,1.24880
2023-11-22 19:00,1.24911,1.24950,1.24846,1.24913
2023-11-22 20:00,1.24903,1.24958,1.24888,1.24956
2023-11-22 21:00,1.24959,1.24972,1.24944,1.24952
2023-11-22 22:00,1.24895,1.24963,1.24886,1.24961
2023-11-22 23:00,1.24948,1.24948,1.24897,1.24897
2023-11-23 00:00,1.24902,1.24964,1.24902,1.24964
2023-11-23 01:00,1.24964,1.24969,1.24895,1.24958
2023-11-23 02:00,1.24967,1.25045,1.24959,1.25039
2023-11-23 03:00,1.25042,1.25070,1.25002,1.25061
2023-11-23 04:00,1.25059,1.25072,1.25028,1.25033
2023-11-23 05:00,1.25031,1.25127,1.25012,1.25127
2023-11-23 06:00,1.25120,1.25171,1.25097,1.25109
2023-11-23 07:00,1.25111,1.25191,1.25030,1.25183
2023-11-23 08:00,1.25178,1.25370,1.25149,1.25177
2023-11-23 09:00,1.25205,1.25609,1.25048,1.25592
2023-11-23 10:00,1.25593,1.25593,1.25425,1.25502
2023-11-23 11:00,1.25507,1.25633,1.25439,1.25573
2023-11-23 12:00,1.25581,1.25584,1.25417,1.25423
2023-11-23 13:00,1.25436,1.25437,1.25349,1.25375
2023-11-23 14:00,1.25375,1.25376,1.25272,1.25329
2023-11-23 15:00,1.25329,1.25441,1.25301,1.25398
2023-11-23 16:00,1.25386,1.25386,1.25299,1.25357
2023-11-23 17:00,1.25357,1.25373,1.25299,1.25320
2023-11-23 18:00,1.25320,1.25354,1.25315,1.25348
2023-11-23 19:00,1.25348,1.25378,1.25340,1.25346
2023-11-23 20:00,1.25343,1.25362,1.25337,1.25349
2023-11-23 21:00,1.25348,1.25373,1.25338,1.25342
2023-11-23 22:00,1.25334,1.25356,1.25305,1.25326
2023-11-23 23:00,1.25367,1.25367,1.25327,1.25329
2023-11-24 00:00,1.25346,1.25447,1.25337,1.25422
2023-11-24 01:00,1.25419,1.25434,1.25321,1.25331
2023-11-24 02:00,1.25323,1.25332,1.25254,1.25272
2023-11-24 03:00,1.25274,1.25354,1.25251,1.25354
2023-11-24 04:00,1.25365,1.25386,1.25323,1.25384
2023-11-24 05:00,1.25393,1.25459,1.25382,1.25459
2023-11-24 06:00,1.25428,1.25430,1.25371,1.25392
2023-11-24 07:00,1.25390,1.25390,1.25268,1.25320
2023-11-24 08:00,1.25313,1.25600,1.25313,1.25598
2023-11-24 09:00,1.25597,1.25652,1.25459,1.25499
2023-11-24 10:00,1.25499,1.25668,1.25474,1.25642
2023-11-24 11:00,1.25652,1.25706,1.25571,1.25691
2023-11-24 12:00,1.25652,1.25800,1.25652,1.25747
2023-11-24 13:00,1.25720,1.25778,1.25625,1.25778
2023-11-24 14:00,1.25780,1.25997,1.25767,1.25987
2023-11-24 15:00,1.26008,1.26154,1.25986,1.26127
2023-11-24 16:00,1.26137,1.26145,1.25992,1.25992
2023-11-24 17:00,1.26006,1.26070,1.25968,1.26070
2023-11-24 18:00,1.26065,1.26115,1.26065,1.26097
2023-11-24 19:00,1.26094,1.26124,1.26046,1.26095
2023-11-24 20:00,1.26091,1.26107,1.26033,1.26095
2023-11-24 21:00,1.26102,1.26124,1.26027,1.26048
2023-11-24 22:00,1.26067,1.26067,1.26067,1.26067
2023-11-27 00:00,1.26005,1.26014,1.25937,1.25949
2023-11-27 01:00,1.25937,1.26102,1.25919,1.26048
2023-11-27 02:00,1.26040,1.26040,1.25921,1.25995
2023-11-27 03:00,1.26002,1.26064,1.25957,1.26062
2023-11-27 04:00,1.26054,1.26100,1.26006,1.26075
2023-11-27 05:00,1.26078,1.26126,1.26062,1.26115
2023-11-27 06:00,1.26134,1.26215,1.26122,1.26173
2023-11-27 07:00,1.26213,1.26259,1.26113,1.26165
2023-11-27 08:00,1.26134,1.26245,1.26059,1.26088
2023-11-27 09:00,1.26092,1.26162,1.26051,1.26083
2023-11-27 10:00,1.26065,1.26245,1.26029,1.26240
2023-11-27 11:00,1.26243,1.26360,1.26177,1.26346
2023-11-27 12:00,1.26328,1.26443,1.26298,1.26381
2023-11-27 13:00,1.26346,1.26366,1.26255,1.26259
2023-11-27 14:00,1.26267,1.26287,1.26145,1.26153
2023-11-27 15:00,1.26183,1.26218,1.26053,1.26067
2023-11-27 16:00,1.26076,1.26127,1.26024,1.26111
2023-11-27 17:00,1.26108,1.26126,1.26021,1.26049
2023-11-27 18:00,1.26027,1.26210,1.26027,1.26200
2023-11-27 19:00,1.26200,1.26344,1.26200,1.26330
2023-11-27 20:00,1.26317,1.26317,1.26261,1.26299
2023-11-27 21:00,1.26291,1.26306,1.26261,1.26285
2023-11-27 22:00,1.26301,1.26334,1.26229,1.26296
2023-11-27 23:00,1.26304,1.26357,1.26293,1.26342
2023-11-28 00:00,1.26358,1.26390,1.26320,1.26357
2023-11-28 01:00,1.26363,1.26417,1.26304,1.26349
2023-11-28 02:00,1.26342,1.26416,1.26320,1.26373
2023-11-28 03:00,1.26379,1.26395,1.26322,1.26322
2023-11-28 04:00,1.26322,1.26325,1.26295,1.26310
2023-11-28 05:00,1.26301,1.26312,1.26234,1.26258
2023-11-28 06:00,1.26237,1.26330,1.26237,1.26277
2023-11-28 07:00,1.26259,1.26259,1.26100,1.26119
2023-11-28 08:00,1.26154,1.26272,1.26080,1.26271
2023-11-28 09:00,1.26269,1.26326,1.26221,1.26287
2023-11-28 10:00,1.26306,1.26397,1.26306,1.26362
2023-11-28 11:00,1.26357,1.26358,1.26207,1.26207
2023-11-28 12:00,1.26186,1.26264,1.26151,1.26162
2023-11-28 13:00,1.26167,1.26485,1.26095,1.26427
2023-11-28 14:00,1.26462,1.26640,1.26370,1.26544
2023-11-28 15:00,1.26523,1.26974,1.26502,1.26836
2023-11-28 16:00,1.26820,1.27099,1.26786,1.27099
2023-11-28 17:00,1.27129,1.27146,1.26876,1.26912
2023-11-28 18:00,1.26918,1.26918,1.26744,1.26878
2023-11-28 19:00,1.26884,1.27013,1.26876,1.26989
2023-11-28 20:00,1.26989,1.26989,1.26815,1.26960
2023-11-28 21:00,1.26937,1.26994,1.26931,1.26949
2023-11-28 22:00,1.26952,1.26994,1.26936,1.26981
2023-11-28 23:00,1.27016,1.27125,1.26997,1.27123
2023-11-29 00:00,1.27136,1.27176,1.27052,1.27176
2023-11-29 01:00,1.27241,1.27301,1.27180,1.27191
2023-11-29 02:00,1.27188,1.27225,1.27126,1.27205
2023-11-29 03:00,1.27226,1.27226,1.27086,1.27086
2023-11-29 04:00,1.27070,1.27142,1.27070,1.27139
2023-11-29 05:00,1.27147,1.27173,1.27092,1.27131
2023-11-29 06:00,1.27138,1.27214,1.27083,1.27136
2023-11-29 07:00,1.27105,1.27105,1.26931,1.26973
2023-11-29 08:00,1.27012,1.27108,1.26960,1.26984
2023-11-29 09:00,1.26962,1.26986,1.26757,1.26801
2023-11-29 10:00,1.26801,1.26902,1.26793,1.26849
2023-11-29 11:00,1.26847,1.26891,1.26767,1.26891
2023-11-29 12:00,1.26889,1.26983,1.26842,1.26949
2023-11-29 13:00,1.26947,1.27074,1.26841,1.26867
2023-11-29 14:00,1.26868,1.27066,1.26756,1.26987
2023-11-29 15:00,1.27036,1.27094,1.26659,1.26973
2023-11-29 16:00,1.26963,1.26971,1.26714,1.26884
2023-11-29 17:00,1.26867,1.27003,1.26857,1.26983
2023-11-29 18:00,1.27007,1.27192,1.26987,1.27175
2023-11-29 19:00,1.27173,1.27273,1.27013,1.27074
2023-11-29 20:00,1.27071,1.27083,1.26908,1.26931
2023-11-29 21:00,1.26949,1.26989,1.26931,1.26950
2023-11-29 22:00,1.26957,1.27002,1.26920,1.26933
2023-11-29 23:00,1.26947,1.26994,1.26944,1.26957
2023-11-30 00:00,1.26952,1.27042,1.26913,1.27033
2023-11-30 01:00,1.27007,1.27008,1.26918,1.26931
2023-11-30 02:00,1.26924,1.27057,1.26924,1.27044
2023-11-30 03:00,1.27037,1.27058,1.26987,1.26995
2023-11-30 04:00,1.26994,1.27028,1.26989,1.27016
2023-11-30 05:00,1.27013,1.27049,1.26942,1.26994
2023-11-30 06:00,1.26994,1.27087,1.26992,1.27068
2023-11-30 07:00,1.27049,1.27073,1.26807,1.26928
2023-11-30 08:00,1.26955,1.27095,1.26634,1.26658
2023-11-30 09:00,1.26680,1.26759,1.26512,1.26512
2023-11-30 10:00,1.26521,1.26525,1.26352,1.26449
2023-11-30 11:00,1.26417,1.26464,1.26328,1.26401
2023-11-30 12:00,1.26416,1.26561,1.26393,1.26481
2023-11-30 13:00,1.26497,1.26670,1.26242,1.26272
2023-11-30 14:00,1.26197,1.26360,1.26049,1.26242
2023-11-30 15:00,1.26232,1.26618,1.26232,1.26618
2023-11-30 16:00,1.26582,1.26614,1.26355,1.26376
2023-11-30 17:00,1.26393,1.26453,1.26181,1.26207
2023-11-30 18:00,1.26205,1.26371,1.26137,1.26218
2023-11-30 19:00,1.26234,1.26266,1.26188,1.26234
2023-11-30 20:00,1.26239,1.26245,1.26137,1.26240
2023-11-30 21:00,1.26247,1.26272,1.26242,1.26242
2023-11-30 22:00,1.26239,1.26288,1.26199,1.26280
2023-11-30 23:00,1.26280,1.26330,1.26266,1.26307
2023-12-01 00:00,1.26318,1.26437,1.26315,1.26437
2023-12-01 01:00,1.26443,1.26555,1.26443,1.26536
2023-12-01 02:00,1.26531,1.26568,1.26473,1.26480
2023-12-01 03:00,1.26485,1.26485,1.26344,1.26354
2023-12-01 04:00,1.26344,1.26408,1.26342,1.26400
2023-12-01 05:00,1.26413,1.26451,1.26376,1.26449
2023-12-01 06:00,1.26430,1.26448,1.26358,1.26395
2023-12-01 07:00,1.26387,1.26454,1.26306,1.26331
2023-12-01 08:00,1.26352,1.26598,1.26334,1.26581
2023-12-01 09:00,1.26597,1.26746,1.26531,1.26672
2023-12-01 10:00,1.26682,1.26682,1.26417,1.26502
2023-12-01 11:00,1.26481,1.26553,1.26424,1.26469
2023-12-01 12:00,1.26493,1.26557,1.26357,1.26384
2023-12-01 13:00,1.26374,1.26480,1.26287,1.26295
2023-12-01 14:00,1.26307,1.26317,1.26150,1.26181
2023-12-01 15:00,1.26373,1.26443,1.26216,1.26371
2023-12-01 16:00,1.26307,1.26895,1.26274,1.26820
2023-12-01 17:00,1.26791,1.26963,1.26772,1.26947
2023-12-01 18:00,1.26924,1.27157,1.26924,1.27112
2023-12-01 19:00,1.27113,1.27150,1.26963,1.27007
2023-12-01 20:00,1.27002,1.27094,1.26991,1.27094
2023-12-01 21:00,1.27089,1.27141,1.27074,1.27141
2023-12-01 22:00,1.27139,1.27139,1.27139,1.27139
2023-12-04 00:00,1.27108,1.27108,1.26780,1.26793
2023-12-04 01:00,1.26791,1.26833,1.26688,1.26770
2023-12-04 02:00,1.26781,1.26862,1.26731,1.26849
2023-12-04 03:00,1.26844,1.26870,1.26784,1.26797
2023-12-04 04:00,1.26776,1.26791,1.26738,1.26759
2023-12-04 05:00,1.26736,1.26825,1.26731,1.26791
2023-12-04 06:00,1.26778,1.26858,1.26749,1.26767
2023-12-04 07:00,1.26784,1.26784,1.26630,1.26651
2023-12-04 08:00,1.26637,1.26722,1.26637,1.26722
2023-12-04 09:00,1.26722,1.26799,1.26595,1.26740
2023-12-04 10:00,1.26752,1.26756,1.26547,1.26666
2023-12-04 11:00,1.26680,1.26871,1.26664,1.26833
2023-12-04 12:00,1.26813,1.26836,1.26693,1.26759
2023-12-04 13:00,1.26738,1.26764,1.26553,1.26560
2023-12-04 14:00,1.26552,1.26552,1.26118,1.26373
2023-12-04 15:00,1.26362,1.26370,1.26049,1.26091
2023-12-04 16:00,1.26103,1.26309,1.26095,1.26309
2023-12-04 17:00,1.26309,1.26352,1.26213,1.26226
2023-12-04 18:00,1.26229,1.26229,1.26064,1.26078
2023-12-04 19:00,1.26094,1.26234,1.26068,1.26234
2023-12-04 20:00,1.26218,1.26328,1.26218,1.26317
2023-12-04 21:00,1.26318,1.26349,1.26309,1.26331
2023-12-04 22:00,1.26288,1.26336,1.26271,1.26330
2023-12-04 23:00,1.26331,1.26350,1.26306,1.26334
2023-12-05 00:00,1.26336,1.26443,1.26328,1.26437
2023-12-05 01:00,1.26432,1.26443,1.26307,1.26366
2023-12-05 02:00,1.26358,1.26390,1.26288,1.26288
2023-12-05 03:00,1.26299,1.26365,1.26287,1.26336
2023-12-05 04:00,1.26336,1.26414,1.26336,1.26382
2023-12-05 05:00,1.26382,1.26408,1.26338,1.26400
2023-12-05 06:00,1.26397,1.26400,1.26295,1.26336
2023-12-05 07:00,1.26310,1.26310,1.26076,1.26076
2023-12-05 08:00,1.26121,1.26279,1.26121,1.26279
2023-12-05 09:00,1.26310,1.26368,1.26208,1.26310
2023-12-05 10:00,1.26318,1.26392,1.26310,1.26330
2023-12-05 11:00,1.26360,1.26454,1.26183,1.26220
2023-12-05 12:00,1.26224,1.26287,1.26183,1.26183
2023-12-05 13:00,1.26189,1.26374,1.26189,1.26365
2023-12-05 14:00,1.26368,1.26382,1.26072,1.26118
2023-12-05 15:00,1.26381,1.26502,1.26081,1.26145
2023-12-05 16:00,1.26145,1.26186,1.25840,1.25875
2023-12-05 17:00,1.25889,1.26049,1.25889,1.25953
2023-12-05 18:00,1.25957,1.25957,1.25786,1.25854
2023-12-05 19:00,1.25856,1.25881,1.25781,1.25830
2023-12-05 20:00,1.25832,1.25951,1.25811,1.25940
2023-12-05 21:00,1.25941,1.25975,1.25933,1.25964
2023-12-05 22:00,1.25953,1.25976,1.25891,1.25924
2023-12-05 23:00,1.25951,1.25953,1.25914,1.25948
2023-12-06 00:00,1.25956,1.26029,1.25930,1.26022
2023-12-06 01:00,1.26019,1.26083,1.25981,1.26021
2023-12-06 02:00,1.26046,1.26080,1.26010,1.26048
2023-12-06 03:00,1.26059,1.26126,1.26059,1.26113
2023-12-06 04:00,1.26111,1.26135,1.26060,1.26067
2023-12-06 05:00,1.26065,1.26137,1.26038,1.26122
2023-12-06 06:00,1.26111,1.26111,1.25989,1.25989
2023-12-06 07:00,1.25962,1.26111,1.25948,1.26097
2023-12-06 08:00,1.26060,1.26073,1.25927,1.25946
2023-12-06 09:00,1.25949,1.26111,1.25949,1.25994
2023-12-06 10:00,1.25995,1.26091,1.25967,1.26033
2023-12-06 11:00,1.26006,1.26006,1.25837,1.25886
2023-12-06 12:00,1.25876,1.25972,1.25840,1.25902
2023-12-06 13:00,1.25921,1.26043,1.25880,1.25992
2023-12-06 14:00,1.25992,1.26027,1.25875,1.25946
2023-12-06 15:00,1.25935,1.25997,1.25830,1.25938
2023-12-06 16:00,1.25941,1.26048,1.25846,1.25873
2023-12-06 17:00,1.25865,1.25929,1.25780,1.25811
2023-12-06 18:00,1.25811,1.25835,1.25677,1.25774
2023-12-06 19:00,1.25764,1.25777,1.25595,1.25619
2023-12-06 20:00,1.25620,1.25620,1.25530,1.25562
2023-12-06 21:00,1.25557,1.25601,1.25556,1.25600
2023-12-06 22:00,1.25634,1.25655,1.25587,1.25612
2023-12-06 23:00,1.25611,1.25616,1.25576,1.25595
2023-12-07 00:00,1.25590,1.25638,1.25562,1.25608
2023-12-07 01:00,1.25617,1.25652,1.25548,1.25600
2023-12-07 02:00,1.25604,1.25623,1.25518,1.25551
2023-12-07 03:00,1.25543,1.25562,1.25491,1.25499
2023-12-07 04:00,1.25499,1.25529,1.25469,1.25500
2023-12-07 05:00,1.25494,1.25519,1.25458,1.25510
2023-12-07 06:00,1.25515,1.25598,1.25477,1.25589
2023-12-07 07:00,1.25549,1.25861,1.25545,1.25816
2023-12-07 08:00,1.25823,1.25864,1.25671,1.25709
2023-12-07 09:00,1.25702,1.25891,1.25633,1.25859
2023-12-07 10:00,1.25873,1.25905,1.25724,1.25883
2023-12-07 11:00,1.25899,1.25930,1.25704,1.25704
2023-12-07 12:00,1.25721,1.25755,1.25587,1.25623
2023-12-07 13:00,1.25619,1.25927,1.25567,1.25856
2023-12-07 14:00,1.25835,1.25835,1.25532,1.25546
2023-12-07 15:00,1.25482,1.25781,1.25482,1.25742
2023-12-07 16:00,1.25756,1.25851,1.25707,1.25788
2023-12-07 17:00,1.25794,1.26105,1.25709,1.26033
2023-12-07 18:00,1.26021,1.26021,1.25872,1.25976
2023-12-07 19:00,1.25981,1.26003,1.25905,1.25922
2023-12-07 20:00,1.25919,1.25979,1.25900,1.25903
2023-12-07 21:00,1.25897,1.25937,1.25840,1.25937
2023-12-07 22:00,1.25919,1.25979,1.25873,1.25926
2023-12-07 23:00,1.25949,1.25957,1.25873,1.25884
2023-12-08 00:00,1.25891,1.25973,1.25865,1.25945
2023-12-08 01:00,1.25951,1.26014,1.25862,1.25903
2023-12-08 02:00,1.25908,1.25913,1.25873,1.25902
2023-12-08 03:00,1.25895,1.25983,1.25883,1.25924
2023-12-08 04:00,1.25905,1.25965,1.25892,1.25892
2023-12-08 05:00,1.25903,1.25956,1.25868,1.25881
2023-12-08 06:00,1.25881,1.25899,1.25789,1.25800
2023-12-08 07:00,1.25794,1.25819,1.25622,1.25661
2023-12-08 08:00,1.25657,1.25728,1.25614,1.25680
2023-12-08 09:00,1.25672,1.25680,1.25563,1.25576
2023-12-08 10:00,1.25573,1.25843,1.25573,1.25815
2023-12-08 11:00,1.25813,1.25868,1.25775,1.25805
2023-12-08 12:00,1.25810,1.25843,1.25683,1.25737
2023-12-08 13:00,1.25732,1.25778,1.25149,1.25472
2023-12-08 14:00,1.25463,1.25463,1.25050,1.25254
2023-12-08 15:00,1.25467,1.25622,1.25241,1.25458
2023-12-08 16:00,1.25444,1.25458,1.25326,1.25382
2023-12-08 17:00,1.25375,1.25469,1.25243,1.25459
2023-12-08 18:00,1.25472,1.25557,1.25445,1.25516
2023-12-08 19:00,1.25526,1.25557,1.25499,1.25507
2023-12-08 20:00,1.25504,1.25505,1.25437,1.25478
2023-12-08 21:00,1.25482,1.25515,1.25455,1.25515
2023-12-08 22:00,1.25505,1.25505,1.25505,1.25505
2023-12-11 00:00,1.25557,1.25589,1.25516,1.25537
2023-12-11 01:00,1.25546,1.25565,1.25461,1.25464
2023-12-11 02:00,1.25455,1.25471,1.25419,1.25439
2023-12-11 03:00,1.25436,1.25447,1.25409,1.25409
2023-12-11 04:00,1.25415,1.25415,1.25359,1.25379
2023-12-11 05:00,1.25371,1.25434,1.25364,1.25419
2023-12-11 06:00,1.25425,1.25455,1.25381,1.25420
2023-12-11 07:00,1.25422,1.25477,1.25368,1.25409
2023-12-11 08:00,1.25426,1.25586,1.25412,1.25507
2023-12-11 09:00,1.25510,1.25598,1.25472,1.25548
2023-12-11 10:00,1.25560,1.25762,1.25560,1.25721
2023-12-11 11:00,1.25726,1.25897,1.25724,1.25897
2023-12-11 12:00,1.25892,1.25903,1.25753,1.25772
2023-12-11 13:00,1.25751,1.25824,1.25655,1.25824
2023-12-11 14:00,1.25808,1.25815,1.25625,1.25675
2023-12-11 15:00,1.25652,1.25758,1.25496,1.25507
2023-12-11 16:00,1.25504,1.25551,1.25444,1.25486
2023-12-11 17:00,1.25502,1.25571,1.25408,1.25408
2023-12-11 18:00,1.25400,1.25617,1.25400,1.25617
2023-12-11 19:00,1.25622,1.25679,1.25548,1.25556
2023-12-11 20:00,1.25563,1.25581,1.25537,1.25576
2023-12-11 21:00,1.25571,1.25597,1.25535,1.25560
2023-12-11 22:00,1.25634,1.25634,1.25537,1.25562
2023-12-11 23:00,1.25548,1.25548,1.25524,1.25538
2023-12-12 00:00,1.25540,1.25644,1.25538,1.25627
2023-12-12 01:00,1.25638,1.25696,1.25636,1.25658
2023-12-12 02:00,1.25658,1.25699,1.25646,1.25646
